864,"Germania Ruder Club, Hamburg",81
865,Freddy,21
866,Rika II,232
867,Korshun,216
868,Hungary-2,92
869,Patricia,160
870,Tlaloc,132
871,Springbok,172
872,Aretusa,102
873,Quicksilver-2,76
874,Viktoriya,216
875,"Germania Ruder Club, Hamburg-2",81
876,Omilos Ereton Smyrnis,83
877,Belarus-2,27
878,Alcaid,165
879,Finland-1,70
880,Finland-2,70
881,Alain IV,192
882,Jupiter,218
883,Three Leaves,97
884,"Philadelphia Turngemeinde, Philadelphia",218
885,K.S.S.S. 1912-2,195
886,Unified Team-3,68
887,Paka,76
888,Sheerio,70
889,Pan II,152
890,Pasodoble,65
891,Freja,195
892,India-2,94
893,Sass-2,195
894,Roy,106
895,Ukraine-1,214
896,Deutscher Schwimm Verband Berlin,81
897,Jet,38
898,Belgium-3,21
899,Shrew II,218
900,Sylvia,195
901,Salamander,76
902,Denmark-3,57
903,Ingegerd,195
904,Slovakia-2,194
905,Johan,76
906,Jamaica-2,104
907,Andromeda,76
908,Hornet,14
909,South Sudan,189
910,Sweden-4,195
911,Chance,195
912,Brat,76
913,Yeoman V,172
914,Knigsberg,92
915,Don Schufro,57
916,Vinga-1,195
917,Aloha II,195
918,Raili,70
919,Syndi,38
920,Vento Sul,31
921,Sans Atout-1,195
922,Miss Nippon IV,104
923,New Zealand-1,154
924,Tramontane,71
925,Sandra,71
926,"Milwaukee Turnverein, Milwaukee",218
927,Nurdug II,57
928,Eleda,152
929,Lbeck,31
930,Yeoman,17
931,Boer Team,172
932,Beatrijs III-1,147
933,Lancet,76
934,West Germany-3,72
935,Lesotho,120
936,Ravenswood Boat Club-2,218
937,Whisper,106
938,Irene,152
939,Balaton,92
940,Kuling,195
941,Sif,195
942,Djinn,10
943,Mascotte,147
944,Bona Fide,76
945,Laurea-1,76
946,Skidoo,218
947,Tomahawk II,38
948,Whirlaway,38
949,Sorais-2,76
950,Minotaur,218
951,United States-5,218
952,Surprise,15
953,Zut,21
954,Tan-Fe-Pah,21
955,Ciss,21
956,Australia-3,14
957,Bohemia-3,28
958,Boreas,106
959,MitaII,106
960,Escapade,31
961,Slovakia-1,194
962,Ralia,70
963,Clearwater,57
964,Angerburg,218
965,Singapore-2,232
966,United States-8,218
967,Barco Deloro,147
968,Dick-8,71
969,Yugoslavia-2,229
970,Kalayaan,160
971,Bohemia-2,28
972,Olimpia,92
973,Macky VI,81
974,Nrnberg,147
975,Nephos I,83
976,Tengiri,93
977,Hayama,195
978,Rush VII,195
979,Rush V,195
980,Ethnikos Gymnastikos Syllogos,83
981,John B,17
982,Bim,17
983,Bonaparte,81
984,North Korea-2,166
985,Mythilus,218
986,Rambo,106
987,Floresco,195
988,Hong Kong-2,90
989,Luxembourg-2,124
990,Lucky,152
991,Spirit VI,218
992,Lully II,152
993,Sildra-1,152
994,Noreg,152
995,Subbnboana,81
996,"Phalainis ton Thorichtou ""Psara""-3",83
997,Slovenia-1,183
998,Rostock,81
999,Norman-1,173
1000,Olympion,83
1001,Sunshine,195
1002,Heidelberg,217
1003,Amulet-7,71
1004,Amulet-3,71
1005,Omas Helliniki P. S.,83
1006,Crocodile-13,71
1007,Crocodile-11,71
1008,Leipzig,71
1009,Red Indian,71
1010,Alcyon-6,71
1011,Alcyon-7,71
1012,Suzon IV-39,71
1013,Suzon IV-5,71
1014,Mascaret-28,71
1015,Mascaret-4,71
1016,Poland-3,164
1017,Sibindi-2,76
1018,Pupilles de Neptune de Lille-1,71
1019,Combine,17
1020,Stade Franais AC-2,71
1021,Kathleen,218
1022,Club Nautique de Lyon-2,71
1023,Holland,147
1024,Starita,147
1025,United States-12,218
1026,Argo II,38
1027,State VI,38
1028,Frimousse,218
1029,Denmark-4,57
1030,Portugal-2,165
1031,France/Great Britain,76
1032,Gyp-23,71
1033,Gyp-6,71
1034,Zefyros,83
1035,Pirouette-31,71
1036,Pirouette-5,71
1037,Societ Nautique de la Marne-1,71
1038,Mebi,102
1039,Slovenia-2,183
1040,Riccar,106
1041,Japan-3,106
1042,Lynn,70
1043,Neptun II,216
1044,Potomac Archers,218
1045,Ireland-1,97
1046,Brentina,218
1047,Nan-2,76
1048,Hannover,165
1049,Scamasaxe-34,71
1050,Scamasaxe-2,71
1051,Scamasaxe-3,71
1052,Three Star Too,218
1053,Bellatrix IX,81
1054,Bellatrix XIII,81
1055,Jeanette-25,71
1056,Jeannette-18,71
1057,Turquoise-1,71
1058,Turquoise-3,71
1059,Roehampton-1,76
1060,Glisten,38
1061,Nadine,147
1062,Grifone,102
1063,Twinkle,76
1064,Myojo,106
1065,Ducky-16,71
1066,Ducky-4,71
1067,Rose Pompon,71
1068,Souriceau-38,71
1069,Souriceau-4,71
1070,United States-11,218
1071,Lady C,76
1072,Frieda,218
1073,Marsouin-26,71
1074,Marsouin-8,71
1075,Persey,216
1076,Hi-Hi,57
1077,Atalanta Boat Club-1,218
1078,Atalanta Boat Club-2,218
1079,Wendehals,81
1080,New York Athletic Club,218
1081,Titia,76
1082,Pimm,31
1083,Gustel X,81
1084,Gustl XI,81
1085,Thailand-1,201
1086,Pop Art,38
1087,Barrenjoey,14
1088,South Africa-1,172
1089,Voloira II,102
1090,Uzbekistan-2,219
1091,Bremen,70
1092,Quando Quando,14
1093,Donar III,15
1094,Hojwa,195
1095,Tineke,218
1096,Danuta,164
1097,Maryke,14
1098,Falcon VI,14
1099,Thailand-2,201
1100,Manana,38
1101,Pandora,154
1102,Rampage,10
1103,Diabolo St Maurice,71
1104,Ravel,218
1105,Humbug V,195
1106,Astrid III,71
1107,Kln,192
1108,Demi-Mondaine-15,71
1109,Demi-Mondaine-17,71
1110,Nokaut II,216
1111,Almaz,216
1112,Tulilind,216
1113,New Zealand-2,154
1114,Notavel,165
1115,Galopin De La Font,165
1116,Margaret,218
1117,Portugal-1,165
1118,Comanche,218
1119,Cicely-1,76
1120,Ma'Lindo,165
1121,Harmony,154
1122,Independent Rowing Club-3,218
1123,Marie-Tim,83
1124,Uzbekistan-1,219
1125,Orion,38
1126,Merope,137
1127,Scaup,38
1128,Legionario,102
1129,Merope III,102
1130,Enotria,102
1131,Verveine-41,71
1132,Verveine-19,71
1133,Bohemia/Great Britain,28
1134,Ariette-8,71
1135,Ariette-10,71
1136,Greenoaks Dundee,14
1137,Fantlet-2,71
1138,Fantlet-7,71
1139,Maid of Lebanon,121
1140,Danaldo,106
1141,Lyn-2,152
1142,Sunrise,147
1143,Falcon IV,14
1144,Potsdam,76
1145,Giselle-6,71
1146,United States-13,218
1147,China-3,43
1148,Ardilla,10
1149,Greece-4,83
1150,Windor,38
1151,Vim III,218
1152,Lasha,195
1153,Hilarius,218
1154,Hakahana,172
1155,Glider,218
1156,Jamaica-1,104
1157,Squid III,70
1158,Singapore-1,232
1159,Mamie-4,71
1160,C.V.A.-14,71
1161,Singy-37,71
1162,C.V.A.-7,71
1163,Mamie-6,71
1164,Singy-7,71
1165,Hamburg,152
1166,Mac Miche,71
1167,Camille,71
1168,Serbia-1,187
1169,Cuxhaven,209
1170,Formosa,218
1171,Danzig,21
1172,Salinero,147
1173,Sjovinge,195
1174,Brandenburg,66
1175,Hungary-3,92
1176,Freia-19,71
1177,Freia-5,71
1178,Luxembourg-1,124
1179,Satchmo,81
1180,Sea Dog-2,76
1181,Mainz,42
1182,Solos Carex,195
1183,Dow Jones,106
1184,Digby,57
